Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC,eyespot
LOC112052839,ankyrin repeat domain-containing protein 11 isoform X1,CG10984,1927.274554,0.866935768,1.18E-11,-0.866935768,NA
LOC112054271,fidgetin-like protein 1,Fign,400.5201374,-1.111403421,1.43E-11,1.111403421,eyespot_down
LOC112052116,DNA replication factor Cdt1,dup,846.6690915,-0.780966045,1.50E-11,0.780966045,NA
LOC112048299,cytochrome b5-like,JHBP1,1877.946615,-0.953627376,1.52E-11,0.953627376,NA
LOC112053916,26S proteasome regulatory subunit 6B,Rpt3,7122.306382,-0.401822393,1.57E-11,0.401822393,NA
LOC112044458,vitamin K epoxide reductase complex subunit 1,Vkor,113.8690828,1.376948798,1.58E-11,-1.376948798,NA
LOC112045901,protein I'm not dead yet,Indy,2472.135733,0.982966813,1.66E-11,-0.982966813,NA
LOC112048722,uncharacterized protein LOC112048722,LOC112048722,974.5667654,0.71490213,1.68E-11,-0.71490213,NA
LOC112050643,"phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN isoform X1",Pten,1940.37051,0.796210403,1.85E-11,-0.796210403,NA
LOC112058044,putative follistatin,LOC112058044,937.9620183,-0.957612724,1.96E-11,0.957612724,NA
LOC112055597,polypyrimidine tract-binding protein 2 isoform X1,heph,19582.1037,-0.546073454,1.98E-11,0.546073454,NA
LOC112043077,importin-5,Karybeta3,20445.4757,0.448751979,2.09E-11,-0.448751979,NA
LOC112057000,protein O-mannosyl-transferase 2,tw,4971.439373,0.584423725,2.09E-11,-0.584423725,NA
LOC112053196,splicing factor 3A subunit 1,Sf3a1,3467.285328,-0.38490378,2.19E-11,0.38490378,NA
LOC112047239,protocadherin-like wing polarity protein stan,GPRSTN,6853.635059,-0.327127841,2.92E-11,0.327127841,NA
LOC112044536,serine/threonine-protein kinase 40-like,KP78b,380.0962749,0.718643026,3.15E-11,-0.718643026,NA
LOC112048534,programmed cell death protein 2,Zfrp8,1013.497505,0.520592576,3.15E-11,-0.520592576,NA
LOC112050386,protein lethal(2)essential for life-like,l(2)efl,41.3665558,3.105858157,3.21E-11,-3.105858157,NA
LOC112043989,nucleolar protein 56,Nop56,8319.100094,-0.388949941,3.42E-11,0.388949941,NA
LOC112051660,U3 small nucleolar RNA-associated protein 14-like,LOC112051660,18135.91778,-0.414432115,3.90E-11,0.414432115,eyespot_down
LOC112058300,26S proteasome non-ATPase regulatory subunit 7,Rpn8,4016.78964,-0.337044049,3.90E-11,0.337044049,NA
LOC112056920,androgen-dependent TFPI-regulating protein-like,LOC112056920,625.5173376,-0.971682912,3.99E-11,0.971682912,eyespot_down
LOC112051381,mRNA turnover protein 4 homolog,RpLP0-like,1778.92302,-0.444526324,4.03E-11,0.444526324,NA
LOC112054335,tubulin alpha-1A chain,alphaTub84B,16807.4172,1.732526381,4.08E-11,-1.732526381,eyespot_down
LOC112056546,TPAputative cuticle protein,Lcp65Ac,43.56840565,-2.007076226,4.59E-11,2.007076226,NA
LOC112047334,decaprenyl-diphosphate synthase subunit 2,Pdss2,1079.248535,1.344517364,4.87E-11,-1.344517364,NA
LOC112057438,condensin complex subunit 2,barr,107.6620961,-1.555885229,5.16E-11,1.555885229,NA
LOC112049537,protein abnormal spindle,asp,1724.388178,-1.17631008,5.26E-11,1.17631008,NA
LOC112048697,rab proteins geranylgeranyltransferase component A 1,Rep,7517.861354,0.311365602,6.09E-11,-0.311365602,NA
LOC112051576,translin,trsn,1353.199761,-0.513112215,6.09E-11,0.513112215,NA
LOC112051663,Activating transcription factor of chaperone,crc,46057.39648,0.585781428,6.31E-11,-0.585781428,eyespot_up
LOC112046653,cadherin-99C,Cad99C,3445.512386,0.769100448,6.32E-11,-0.769100448,NA
LOC112048556,proteasome-associated protein ECM29 homolog,CG8858,4577.231968,-0.377811642,6.32E-11,0.377811642,NA
LOC112050384,Splicing factor 1,SF1,2967.550246,-0.562322828,7.14E-11,0.562322828,NA
LOC112048882,zinc finger protein 2-like isoform X2,Opbp,745.6753351,-0.497251241,8.23E-11,0.497251241,NA
LOC112044026,Thyroid adenoma-associated protein-like,ALKBH1,1097.384232,-0.483822919,8.73E-11,0.483822919,NA
LOC112051556,RIMS-binding protein 2 isoform X3,Rbp,77.24414271,1.772657803,9.01E-11,-1.772657803,eyespot_up
LOC112056303,"glucose dehydrogenase [FAD, quinone]",CG9503,573.8729028,2.416048637,9.04E-11,-2.416048637,NA
LOC112048557,sphingomyelin synthase-related 1-like,SMSr,513.1654663,0.820052414,1.06E-10,-0.820052414,NA
LOC112057909,solute carrier family 41 member 1-like isoform X1,CG33181,187.8505405,-1.812818344,1.11E-10,1.812818344,NA
LOC112057640,tubulin beta-1 chain,betaTub56D,17429.38237,0.626082846,1.20E-10,-0.626082846,NA
LOC112050906,general transcriptional corepressor trfA-like,LOC112050906,4843.516109,-1.040990752,1.21E-10,1.040990752,NA
LOC112046560,transcriptional activator cubitus interruptus isoform X1,Ci,4352.856131,0.324960904,1.32E-10,-0.324960904,eyespot_up
LOC112054447,transcription termination factor 2,lds,826.4569509,-1.123759776,1.49E-10,1.123759776,NA
LOC112052124,SRSF protein kinase 3,SRPK,4302.632927,-0.41938127,1.51E-10,0.41938127,NA
LOC112043825,protein unc-79 homolog,unc79,314.9220497,-0.867065693,1.64E-10,0.867065693,NA
LOC112048614,small nuclear ribonucleoprotein Sm D3,SmD3,9953.011302,-0.302333789,1.64E-10,0.302333789,NA
LOC112047049,WD repeat-containing protein CG11141,CG11141,481.4778074,0.583685592,1.67E-10,-0.583685592,NA
LOC112052655,protein D2-like isoform X1,CG6180,3843.677277,-0.541429102,1.77E-10,0.541429102,NA
LOC112046045,Myosin-J heavy chain,LOC112046045,282.08155,-1.087804058,1.81E-10,1.087804058,NA
LOC112049969,"protein tramtrack, beta isoform isoform X28",mod(mdg4),30588.67091,0.349076184,1.84E-10,-0.349076184,NA
LOC112057899,mucin-5AC isoform X1,Cht6,996.1966382,0.990703123,1.94E-10,-0.990703123,NA
