Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112044986,seminal fluid protein CSSFP033,CLIPA10,28512.44254,-11.42421986,3.15E-88,11.42421986
LOC112050318,achaete-scute complex protein T3-like,sc,911.247977,8.219677746,6.95E-88,-8.219677746
LOC112044897,aromatic-L-amino-acid decarboxylase-like,amd,4424.072784,-11.32447956,9.42E-88,11.32447956
LOC112051183,tyrosine-protein phosphatase 10D,Ptp10D,9387.745809,-2.121965951,1.26E-87,2.121965951
LOC112053235,VWFA and cache domain-containing protein CG16868,CG16868,681.8456418,1.961977097,2.07E-87,-1.961977097
LOC112054971,tetra-peptide repeat homeobox protein 1-like,LOC112054971,515606.1532,-21.83420402,2.15E-87,21.83420402
LOC112043637,DNA polymerase delta subunit 3-like,LOC112043637,571.5192312,2.318892636,2.39E-87,-2.318892636
LOC112044867,MPN domain-containing protein CG4751,CG4751,571.2100561,2.5710923,4.51E-87,-2.5710923
LOC112046904,polyadenylate-binding protein 1,pAbp,96876.82225,-1.026909695,6.54E-87,1.026909695
LOC112046727,nuclear pore complex protein Nup205,Nup205,382.4960499,3.190284043,2.36E-86,-3.190284043
LOC112054662,putative sodium-dependent multivitamin transporter,CG32669,1055.906534,-3.483101252,3.46E-86,3.483101252
LOC112056124,uncharacterized LOC106121622 precursor,CG11409,3554.85552,-12.1765722,5.16E-86,12.1765722
LOC112047331,DNA N6-methyl adenine demethylase isoform X1,Tet,2094.60349,4.089326862,1.35E-85,-4.089326862
LOC112054231,ribonucleoside-diphosphate reductase subunit M2,RnrS,2037.90215,2.627797711,1.52E-85,-2.627797711
LOC112048820,putative E3 ubiquitin-protein ligase UBR7,CG15141,3501.367175,2.893860723,2.20E-85,-2.893860723
LOC112048433,FACT complex subunit spt16 isoform X1,dre4,3629.272416,1.600886093,3.35E-85,-1.600886093
LOC112044401,deoxynucleoside kinase,dnk,922.8464904,3.06231754,2.58E-84,-3.06231754
LOC112055001,integrator complex subunit 11,IntS11,802.7836403,1.964846407,1.00E-83,-1.964846407
LOC112054356,centromere-associated protein E-like isoform X1,kinesin-7,2745.790337,3.670648037,1.06E-83,-3.670648037
LOC112055209,condensin complex subunit 3,LOC112055209,705.3060664,4.27770152,1.75E-83,-4.27770152
LOC112052591,mucin-5AC-like isoform X1,CG17211,6703.053692,4.547828751,2.37E-83,-4.547828751
LOC112048699,DNA-(apurinic or apyrimidinic site) lyase,Rrp1,7176.693264,2.038431064,2.79E-83,-2.038431064
LOC112042794,ubiquitin-fold modifier-conjugating enzyme 1,Ufc1,2092.142755,-3.054877839,6.89E-83,3.054877839
LOC112055759,flap endonuclease 1,Fen1,716.7230489,2.929221884,1.52E-82,-2.929221884
LOC112049782,baculoviral IAP repeat-containing protein 5,Det,451.1116921,6.28182516,1.55E-82,-6.28182516
LOC112047095,hemolin,LOC112047095,4881.151263,7.536663544,1.65E-82,-7.536663544
LOC112055972,acidic repeat-containing protein,CG14814,335.5000739,5.22106821,3.05E-82,-5.22106821
LOC112054447,transcription termination factor 2,lds,1241.82312,5.59096917,3.10E-82,-5.59096917
