Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112042790,putative fatty acyl-CoA reductase CG5065,CG12268,5754.664573,11.20484523,3.30E-165,-11.20484523
LOC112048398,myosin regulatory light chain sqh,sqh,25188.77775,2.363100117,6.66E-165,-2.363100117
LOC112048143,kinetochore protein Spc25-like,LOC112048143,804.6642083,-4.777248914,1.75E-164,4.777248914
LOC112057570,cyclin-dependent kinase 7,Cdk7,1461.070884,-1.953395443,2.66E-164,1.953395443
LOC112056277,aurora kinase B-like,aurB,1308.344819,-3.953787965,4.79E-164,3.953787965
LOC112044629,pancreatic triacylglycerol lipase-like isoform X1,CG6847,1782.563947,5.54046222,9.00E-164,-5.54046222
LOC112043015,uncharacterized protein LOC112043015 isoform X1,LOC112043015,7430.810381,12.85983147,5.57E-163,-12.85983147
LOC112054335,tubulin alpha-1A chain,alphaTub84B,14652.79176,3.825028314,3.94E-162,-3.825028314
LOC112050906,general transcriptional corepressor trfA-like,LOC112050906,10353.84849,-4.942107706,8.48E-161,4.942107706
LOC112053688,uncharacterized protein LOC112053688,PsGEF,5106.118901,-5.675590979,2.48E-160,5.675590979
LOC112049113,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",fw,1407.714588,2.723684632,2.25E-158,-2.723684632
LOC112047975,OWR53088.1 putative cuticle protein,CG12540,12773.61612,-8.381227164,2.49E-158,8.381227164
LOC112055523,protein stunted-like isoform X1,sun,2189.590016,1.797015718,5.93E-158,-1.797015718
LOC112057692,uncharacterized protein LOC112057692,LOC112057692,1403.746399,-4.591141983,6.89E-157,4.591141983
LOC112057832,UDP-glucuronosyltransferase 2C1,Ugt50B3,4487.684149,9.806065921,2.40E-156,-9.806065921
LOC112054273,activating signal cointegrator 1 complex subunit 2 homolog,Cpr97Eb,10458.65588,7.271143854,3.08E-156,-7.271143854
LOC112055476,transmembrane protein 68 isoform X1,CG34348,860.7172364,-3.189673762,4.51E-156,3.189673762
LOC112044157,uncharacterized protein LOC112044157,CG14880,4027.937535,5.056149549,1.40E-154,-5.056149549
LOC112055209,condensin complex subunit 3,LOC112055209,923.633825,-3.946877979,1.48E-154,3.946877979
LOC112046623,putative serine/threonine-protein kinase nek2,LOC112046623,2033.526123,-4.147578272,5.07E-154,4.147578272
LOC112054552,endocuticle structural glycoprotein ABD-5-like,LOC112054552,5072.304999,4.285325116,9.22E-154,-4.285325116
LOC112048445,UDP-glucuronosyltransferase 2B30-like,Ugt36D1,1562.521639,-5.788890638,2.47E-153,5.788890638
LOC112050303,larval cuticle protein A3A-like,Cpr92A,103945.5014,17.82479225,4.65E-153,-17.82479225
LOC112049730,uncharacterized protein LOC112049730,LOC112049730,1698.741643,-4.512299292,5.77E-153,4.512299292
LOC112057758,peroxidase,HPX5,2267.86682,10.8210594,1.06E-150,-10.8210594
LOC112054447,transcription termination factor 2,lds,1690.458208,-4.585582847,1.40E-150,4.585582847
LOC112054589,dual specificity protein kinase TTK,ald,870.250734,-3.345826783,1.74E-148,3.345826783
LOC112043935,protein turtle isoform X1,tutl,3213.397555,-2.844142312,3.51E-148,2.844142312
LOC112044096,tensin-1 isoform X8,by,1724.38879,3.250350773,4.39E-148,-3.250350773
LOC112045977,signaling mucin HKR1-like isoform X1,LOC112045977,934.7468912,7.014706581,6.62E-148,-7.014706581
LOC112057837,tethering factor for nuclear proteasome STS1,CG5199,1372.099123,-2.724488067,3.73E-147,2.724488067
LOC112050396,histone H2A.V,His2Av,9189.822043,-1.899531122,5.03E-146,1.899531122
LOC112054205,uncharacterized protein LOC112054205,LOC112054205,13089.22174,7.08538117,2.38E-145,-7.08538117
LOC112054742,superoxide dismutase 6,ATP6AP1L,2170.778196,2.180136595,7.66E-145,-2.180136595
LOC112054352,flocculation protein FLO11-like,LOC112054352,908.4701312,-3.553719899,1.21E-144,3.553719899
LOC112049782,baculoviral IAP repeat-containing protein 5,Det,606.0836045,-4.462225871,1.62E-144,4.462225871
LOC112053386,protein CIP2A homolog,CG12702,1116.775999,-4.547617691,3.54E-144,4.547617691
LOC112053988,uncharacterized protein LOC112053988,RhoGEF64C,7255.510617,2.508733554,7.01E-144,-2.508733554
LOC112052559,uncharacterized protein LOC112052559,sano,5323.389762,-3.142075219,8.83E-144,3.142075219
LOC112051976,uncharacterized protein LOC112051976,LOC112051976,628.6819642,4.184038856,6.31E-143,-4.184038856
LOC112058252,centrosomin isoform X1,cnn,2948.351314,-4.514186984,9.35E-143,4.514186984
LOC112057350,kynurenine 3-monooxygenase,cn,2573.935501,7.216383479,9.89E-143,-7.216383479
LOC112051506,OWR48679.1 Secreted protein member of chemokine factor super family,CG15449,7694.300057,3.644046649,1.94E-142,-3.644046649
LOC112044484,40S ribosomal protein S13,RpS13,22523.07136,0.930240074,2.15E-142,-0.930240074
LOC112050816,"histone H2A, sperm-like",His2A:CG31618,1161.910868,-3.203497329,4.08E-142,3.203497329
LOC112051163,deoxyuridine 5'-triphosphate nucleotidohydrolase,dUTPase,1251.69011,-3.827448901,1.67E-141,3.827448901
LOC112054365,sodium-coupled monocarboxylate transporter 1,CG7720,699.9853724,-6.969496403,6.45E-139,6.969496403
LOC112048416,zinc finger protein 391-like,klu,813.1702682,2.143647342,7.68E-139,-2.143647342
LOC112049328,inner centromere protein isoform X2,stai,22479.04693,-2.948587268,3.28E-137,2.948587268
