Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112052598,uncharacterized protein LOC112052598 isoform X1,CG17127,34609.71664,-6.719364924,2.92E-93,6.719364924
LOC112055327,protein obstructor-E isoform X2,Gasp,44180.31002,-4.757701497,3.38E-93,4.757701497
LOC112048382,protein cueball,cue,542.5316981,-4.070755829,4.42E-93,4.070755829
LOC112054175,Kinetochore-associated protein 1,LOC112054175,535.715267,5.024639154,1.05E-92,-5.024639154
LOC112049537,protein abnormal spindle,asp,1240.245645,5.83561239,1.42E-92,-5.83561239
LOC112043330,S-formylglutathione hydrolase,CG4390,578.7383919,3.169566115,1.44E-92,-3.169566115
LOC112044665,protein fem-1 homolog CG6966 isoform X2,CG6966,5523.572522,-2.614131285,2.60E-92,2.614131285
LOC112054954,influenza virus NS1A-binding protein homolog,CG15097,579.0455173,3.136135896,2.77E-92,-3.136135896
LOC112051874,transcription factor SPT20 homolog isoform X2,CG8192,29069.30784,-11.31549941,1.18E-91,11.31549941
LOC112054330,"phospholipase B1, membrane-associated-like",CG7365,1468.666567,-9.291746669,1.68E-91,9.291746669
LOC112048631,GAS2-like protein pickled eggs,pigs,6265.169504,-5.637643879,1.69E-91,5.637643879
LOC112044325,bromodomain-containing protein DDB_G0280777-like,LOC112044325,12423.44105,-10.0602288,3.85E-91,10.0602288
LOC112054589,dual specificity protein kinase TTK,ald,359.0380696,4.4397884,4.32E-91,-4.4397884
LOC112051452,uncharacterized protein LOC112051452,LOC112051452,11658.67165,-8.361006024,4.84E-91,8.361006024
LOC112048019,uncharacterized protein LOC112048019 isoform X1,LOC112048019,354.9133207,-5.65560605,6.15E-91,5.65560605
LOC112048625,O-acyltransferase like protein-like,CG4576,15718.41519,-15.07338415,7.63E-91,15.07338415
LOC112053432,BAM19557.1  CG13675,CG13675,30087.50978,-11.39625728,8.79E-91,11.39625728
LOC112055839,myrosinase 1-like,CG9701,12180.09645,-10.16864581,1.05E-90,10.16864581
LOC112045548,lysozyme-like,CG6426,2214.380875,4.211937299,1.58E-90,-4.211937299
LOC112051748,maternal protein tudor-like isoform X2,tud,7148.759238,-4.866978937,2.31E-90,4.866978937
LOC112057832,UDP-glucuronosyltransferase 2C1,Ugt50B3,14821.23329,-11.0620251,6.85E-90,11.0620251
LOC112051652,gamma-aminobutyric acid receptor-associated protein,Atg8a,5270.241557,-2.480336836,3.46E-89,2.480336836
LOC112054273,activating signal cointegrator 1 complex subunit 2 homolog,Cpr97Eb,4803.05389,-6.260346148,2.73E-88,6.260346148
LOC112043759,BAM18118.1  CG34115,CG34115,9739.370101,-5.196339521,3.12E-88,5.196339521
LOC112052001,Cell surface glycoprotein 1,nahoda,14404.66234,-4.851862743,4.41E-88,4.851862743
LOC112045218,proliferating cell nuclear antigen,mus209,1288.385918,3.653206515,9.00E-88,-3.653206515
LOC112045588,low density lipoprotein receptor adapter protein 1-like,LOC112045588,450.780534,-7.585310065,2.26E-87,7.585310065
LOC112047875,la-related protein 6,Achl,30357.28375,-8.347973235,3.34E-87,8.347973235
LOC112053344,unconventional myosin-XV,Myo15,817.8651525,-2.609217674,4.51E-87,2.609217674
LOC112050109,probable chitinase 10,Cht3,1341.183291,5.452825418,1.21E-86,-5.452825418
LOC112056403,GTP cyclohydrolase 1 isoform X1,Pu,1763.45645,-6.055388735,1.84E-86,6.055388735
LOC112054138,proton channel OtopLc isoform X1,OtopLa,4261.645525,-3.316788732,2.98E-86,3.316788732
LOC112044998,putative ly-6/neurotoxin superfamily member 1,LOC112044998,24195.25866,-4.518720213,3.45E-86,4.518720213
LOC112043829,uncharacterized abhydrolase domain-containing protein DDB_G0269086-like,CG33257,76288.73156,-10.32118021,5.00E-86,10.32118021
LOC112053787,angiotensin-converting enzyme-like,Ance-3,584.5613418,-7.55526574,7.58E-86,7.55526574
LOC112053206,sn1-specific diacylglycerol lipase beta isoform X1,inaE,1685.373679,-6.004798092,8.14E-86,6.004798092
LOC112058008,heterogeneous nuclear ribonucleoprotein K isoform X2,bl,2818.511838,2.170053133,5.78E-85,-2.170053133
LOC112053115,laccase-5 precursor,Lac2,17816.05512,-7.542308281,6.66E-85,7.542308281
LOC112050625,tyrosine kinase receptor Cad96Ca isoform X1,Cad96Ca,4162.927919,-3.342867197,1.14E-84,3.342867197
LOC112045452,cell division cycle protein 20 homolog,fzy,837.2745886,5.832432269,1.31E-84,-5.832432269
LOC112050503,extracellular serine/threonine protein CG31145 isoform X2,CG31145,5055.617438,-5.756915937,1.68E-84,5.756915937
LOC112044278,CSC1-like protein 2,Tmem63,6727.030847,-3.929016584,2.75E-84,3.929016584
LOC112056371,uncharacterized LOC106116239 precursor,Osi2,1516.463995,-9.802074552,5.01E-84,9.802074552
LOC112051953,aminopeptidase N-like,CG11951,9241.944556,-7.674349247,8.01E-84,7.674349247
LOC112058080,docking protein 3,Dok,5231.320293,-4.085632649,9.43E-84,4.085632649
LOC112046673,uncharacterized protein LOC112046673 isoform X1,CG2865,2672.758442,-2.764432773,9.69E-84,2.764432773
LOC112055826,uncharacterized protein LOC112055826 isoform X3,nw,28482.81252,5.604060101,1.30E-83,-5.604060101
LOC112045324,probable histone-binding protein Caf1,Caf1,1272.033736,2.96139973,1.81E-83,-2.96139973
LOC112053181,protein goliath isoform X3,RNF130,6446.706502,-3.216441487,2.84E-83,3.216441487
LOC112049730,uncharacterized protein LOC112049730,LOC112049730,601.5001886,6.476590653,2.92E-83,-6.476590653
LOC112045994,cyclin-A2-like,CycA,1892.012876,3.663723446,3.49E-82,-3.663723446
LOC112046051,ras-related protein Rap-2c,Rap2l,2663.618998,-1.680448786,1.13E-81,1.680448786
LOC112046671,neural-cadherin isoform X2,CadN,326.7286799,5.670656848,1.43E-81,-5.670656848
LOC112052196,Macrophage MHC class 1 receptor 2 protein,SP1173,2784.890973,2.135218966,1.51E-81,-2.135218966
LOC112050441,protein henna,Hn,2277.109357,-6.574013158,1.97E-81,6.574013158
LOC112045330,frizzled-4,GPRFZ4,714.2710709,3.243106243,2.99E-81,-3.243106243
LOC112048570,poly [ADP-ribose] polymerase,Parp,1465.421556,2.652800891,4.18E-81,-2.652800891
LOC112044103,elongation of very long chain fatty acids protein 7-like,sit,1058.322739,-7.92344853,6.47E-81,7.92344853
LOC112049133,bestrophin-4 isoform X1,Best2,831.8729994,-3.397837669,7.37E-81,3.397837669
LOC112050877,uncharacterized protein LOC112050877,rau,25120.57388,-7.44497477,8.25E-81,7.44497477
LOC112047206,transforming acidic coiled-coil-containing protein 3-like,LOC112047206,873.7327996,6.742959954,1.33E-80,-6.742959954
LOC112053106,protein claret segregational,kinesin-14,1337.686048,6.796291829,1.85E-80,-6.796291829
LOC112047685,inner nuclear membrane protein Man1-like,MAN1,2140.575541,1.61272016,2.28E-80,-1.61272016
LOC112053117,putative laccase-9,Lac2,8486.386423,-9.583731075,2.28E-80,9.583731075
LOC112051359,prisilkin-39-like,LOC112051359,8196.096102,-10.47123861,5.52E-80,10.47123861
LOC112056230,neurogenic protein mastermind-like isoform X1,mam,5153.950544,-2.812638187,5.52E-80,2.812638187
